listing_id,cutoff_date,dataset_version,room_type,property_type,neighbourhood_name,accommodates,bedrooms,beds,bathrooms,listing_price,minimum_nights,maximum_nights,instant_bookable,host_is_superhost,host_listing_count,total_reviews_before_cutoff,unique_reviewers_before_cutoff,avg_comment_len_before_cutoff,max_comment_len_before_cutoff,days_since_last_review,available_days_last_90d,available_rate_last_90d,avg_minimum_nights_calendar_last_90d,avg_maximum_nights_calendar_last_90d,available_days_last_30d,available_rate_last_30d,avg_minimum_nights_calendar_last_30d,avg_maximum_nights_calendar_last_30d,future_calendar_days_observed_30d,future_available_days_30d,future_available_rate_30d,high_demand_proxy,has_reviews_before_cutoff
1135677357624088066,2025-12-10,v1_student,Private room,Private room in bed and breakfast,Centrum-West,2,1.0,1.0,1.0,267.0,2,365,True,True,3,24,24,261.9166666666667,963.0,101,64,0.7032967032967034,2.0,1125.0,28,0.9333333333333333,2.0,1125.0,30,26,0.8666666666666667,0,1
1135815753606055677,2025-12-10,v1_student,Entire home/apt,Entire loft,Oud-Noord,4,1.0,3.0,1.0,162.0,3,365,True,True,1,56,56,238.35714285714286,620.0,100,57,0.6263736263736264,3.0,365.0,26,0.8666666666666667,3.0,365.0,30,26,0.8666666666666667,0,1
1135918587415295783,2025-12-10,v1_student,Entire home/apt,Entire home,Oud-Noord,4,4.0,,2.0,,3,30,False,False,1,10,10,349.3,923.0,192,0,0.0,3.0,30.0,0,0.0,3.0,30.0,30,0,0.0,1,1
1135922073630540518,2025-12-10,v1_student,Entire home/apt,Entire condo,Westerpark,2,1.0,,1.0,,5,15,False,False,1,4,4,271.25,537.0,372,0,0.0,5.0,15.0,0,0.0,5.0,15.0,30,0,0.0,1,1
1136142025367725825,2025-12-10,v1_student,Private room,Private room in guest suite,Noord-West,2,1.0,,1.0,,2,365,False,False,1,51,51,276.6470588235294,722.0,184,0,0.0,2.0,365.0,0,0.0,2.0,365.0,30,0,0.0,1,1
1136211934910713257,2025-12-10,v1_student,Entire home/apt,Entire rental unit,Oud-Oost,4,2.0,2.0,1.0,366.0,7,181,True,True,5,21,21,277.4761904761905,1002.0,114,3,0.03296703296703297,7.0,181.0,0,0.0,7.0,181.0,30,24,0.8,0,1
1136233774006880055,2025-12-10,v1_student,Entire home/apt,Entire rental unit,Zuid,4,2.0,2.0,0.0,386.0,2,5,False,False,1,4,4,301.25,555.0,221,48,0.5274725274725275,2.0,5.0,30,1.0,2.0,5.0,30,30,1.0,0,1
1136238955390281827,2025-12-10,v1_student,Entire home/apt,Entire rental unit,Centrum-Oost,2,1.0,,1.0,,4,60,False,False,1,10,10,408.5,1033.0,148,0,0.0,4.0,60.0,0,0.0,4.0,60.0,30,0,0.0,1,1
1136275586084183048,2025-12-10,v1_student,Entire home/apt,Entire rental unit,De Baarsjes - Oud-West,2,1.0,,1.0,,5,30,False,False,1,6,6,257.6666666666667,513.0,192,2,0.02197802197802198,5.0,30.0,0,0.0,5.0,30.0,30,0,0.0,1,1
1136288420195933013,2025-12-10,v1_student,Entire home/apt,Entire condo,Oud-Oost,2,1.0,0.0,1.0,299.0,2,365,False,False,1,2,2,344.5,622.0,416,80,0.8791208791208791,2.0,365.0,20,0.6666666666666666,2.0,365.0,30,9,0.3,1,1
1136684273822827716,2025-12-10,v1_student,Entire home/apt,Entire rental unit,De Baarsjes - Oud-West,4,3.0,0.0,2.5,810.0,2,365,False,True,1,9,9,247.44444444444446,424.0,106,40,0.43956043956043955,1.989010989010989,365.0,16,0.5333333333333333,2.0,365.0,30,20,0.6666666666666666,0,1
1136717355205647802,2025-12-10,v1_student,Entire home/apt,Entire rental unit,Oud-Oost,4,3.0,3.0,1.0,431.0,3,10,False,True,1,8,8,239.125,422.0,119,16,0.17582417582417584,2.978021978021978,10.0,0,0.0,3.0,10.0,30,14,0.4666666666666667,0,1
1136859031380772732,2025-12-10,v1_student,Private room,Private room in home,Bijlmer-Centrum,4,2.0,3.0,1.5,183.0,2,365,False,False,2,7,7,248.0,621.0,138,2,0.02197802197802198,2.0,365.0,0,0.0,2.0,365.0,30,0,0.0,1,1
1136864901944268028,2025-12-10,v1_student,Private room,Private room in bed and breakfast,Noord-West,2,1.0,1.0,1.0,59.0,3,365,False,False,2,26,26,250.53846153846155,592.0,114,49,0.5384615384615384,3.0,365.0,29,0.9666666666666667,3.0,365.0,30,0,0.0,1,1
1136904547226272264,2025-12-10,v1_student,Entire home/apt,Entire rental unit,Westerpark,2,1.0,1.0,1.0,272.0,1,5,False,False,1,2,2,439.5,497.0,451,4,0.04395604395604396,1.0879120879120878,5.0,4,0.13333333333333333,1.2666666666666666,5.0,30,0,0.0,1,1
1136933885580043276,2025-12-10,v1_student,Entire home/apt,Entire rental unit,De Baarsjes - Oud-West,2,1.0,,1.0,,14,30,False,False,1,3,3,365.0,428.0,543,0,0.0,14.0,30.0,0,0.0,14.0,30.0,30,0,0.0,1,1
1136995645703341746,2025-12-10,v1_student,Private room,Private room in home,De Pijp - Rivierenbuurt,2,1.0,0.0,1.0,106.0,2,365,True,False,1,65,65,162.07692307692307,589.0,92,54,0.5934065934065934,2.098901098901099,365.0,21,0.7,2.2666666666666666,365.0,30,30,1.0,0,1
1137003309289429878,2025-12-10,v1_student,Entire home/apt,Entire condo,Bos en Lommer,4,2.0,2.0,1.0,251.0,4,9,False,False,1,7,7,181.28571428571428,393.0,220,0,0.0,4.0,9.0,0,0.0,4.0,9.0,30,20,0.6666666666666666,0,1
1137137235002162191,2025-12-10,v1_student,Entire home/apt,Entire condo,De Baarsjes - Oud-West,3,1.0,0.0,1.0,350.0,2,30,False,False,1,9,9,343.1111111111111,862.0,100,88,0.967032967032967,2.0,30.0,29,0.9666666666666667,2.0,30.0,30,0,0.0,1,1
1137454687273871945,2025-12-10,v1_student,Private room,Room in hotel,Watergraafsmeer,2,1.0,,1.0,,1,365,True,True,6,5,5,68.6,86.0,99,90,0.989010989010989,1.120879120879121,35.72527472527472,30,1.0,1.0,28.0,30,23,0.7666666666666667,0,1
1137454694915842965,2025-12-10,v1_student,Private room,Room in hotel,Watergraafsmeer,2,1.0,,1.0,,1,365,True,True,6,1,1,66.0,66.0,117,90,0.989010989010989,1.120879120879121,35.72527472527472,30,1.0,1.0,28.0,30,23,0.7666666666666667,0,1
1137512663256546379,2025-12-10,v1_student,Entire home/apt,Entire rental unit,Westerpark,2,1.0,,1.5,,2,365,False,False,1,2,2,284.5,360.0,388,0,0.0,2.0,365.0,0,0.0,2.0,365.0,30,0,0.0,1,1
1137553733354841190,2025-12-10,v1_student,Private room,Room in hotel,De Pijp - Rivierenbuurt,2,1.0,1.0,1.0,226.0,99,365,True,False,2,4,4,74.0,110.0,148,43,0.4725274725274725,1.065934065934066,7.0,28,0.9333333333333333,1.1333333333333333,7.0,30,19,0.6333333333333333,0,1
1137571191964668074,2025-12-10,v1_student,Entire home/apt,Entire rental unit,Oud-Oost,4,2.0,2.0,1.0,280.0,7,181,False,True,5,35,35,336.34285714285716,1014.0,106,51,0.5604395604395604,7.0,181.0,30,1.0,7.0,181.0,30,30,1.0,0,1
1137577474670541553,2025-12-10,v1_student,Entire home/apt,Entire rental unit,Oud-Oost,4,2.0,2.0,1.0,362.0,7,181,False,True,5,24,24,314.125,1011.0,95,48,0.5274725274725275,7.0,181.0,30,1.0,7.0,181.0,30,30,1.0,0,1
1137644703462849631,2025-12-10,v1_student,Entire home/apt,Entire rental unit,De Pijp - Rivierenbuurt,2,1.0,1.0,1.0,194.0,2,35,False,False,1,12,12,254.25,735.0,110,68,0.7472527472527473,3.241758241758242,35.0,30,1.0,2.0,35.0,30,30,1.0,0,1
1137659472978189586,2025-12-10,v1_student,Entire home/apt,Entire rental unit,De Pijp - Rivierenbuurt,4,2.0,2.0,1.0,650.0,1,365,False,False,1,1,1,509.0,509.0,526,90,0.989010989010989,1.0,365.0,30,1.0,1.0,365.0,30,30,1.0,0,1
1137730774748511354,2025-12-10,v1_student,Entire home/apt,Entire home,Noord-Oost,4,3.0,2.0,1.0,250.0,5,365,False,False,1,2,2,106.5,173.0,466,0,0.0,5.0,365.0,0,0.0,5.0,365.0,30,17,0.5666666666666667,0,1
1138184950954542089,2025-12-10,v1_student,Entire home/apt,Entire rental unit,De Pijp - Rivierenbuurt,2,0.0,1.0,1.0,152.0,2,13,False,False,1,5,5,291.6,871.0,342,0,0.0,2.0,13.0,0,0.0,2.0,13.0,30,0,0.0,1,1
1138222459502187457,2025-12-10,v1_student,Entire home/apt,Entire rental unit,Centrum-West,2,1.0,,1.0,,4,365,False,True,2,8,8,207.125,485.0,414,0,0.0,4.0,365.0,0,0.0,4.0,365.0,30,0,0.0,1,1
1138249187141832579,2025-12-10,v1_student,Private room,Private room in condo,Geuzenveld - Slotermeer,2,1.0,1.0,1.0,117.0,2,5,True,True,1,16,16,175.875,326.0,213,4,0.04395604395604396,2.0,5.0,0,0.0,2.0,5.0,30,0,0.0,1,1
1138351667104781985,2025-12-10,v1_student,Entire home/apt,Entire rental unit,Centrum-West,4,2.0,3.0,1.5,577.0,2,365,False,True,1,107,107,204.8785046728972,855.0,93,17,0.18681318681318682,2.0,365.0,0,0.0,2.0,365.0,30,0,0.0,1,1
1138360463861600650,2025-12-10,v1_student,Entire home/apt,Entire rental unit,De Baarsjes - Oud-West,2,1.0,1.0,1.5,550.0,1,14,False,False,1,1,1,277.0,277.0,448,84,0.9230769230769231,3.0,14.0,30,1.0,3.0,14.0,30,30,1.0,0,1
1138367428464389905,2025-12-10,v1_student,Private room,Private room in rental unit,De Baarsjes - Oud-West,3,1.0,2.0,1.5,80.0,3,365,True,False,1,15,15,145.6,908.0,128,85,0.9340659340659341,3.0,365.0,30,1.0,3.0,365.0,30,30,1.0,0,1
